Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,Travel_Rarely,1015,Research & Development,22,4,Technical Degree,1,1,4,Male,68,3,2,Manager,4,Divorced,2984,16695,0,Y,Yes,20,3,1,80,1,2,3,2,37,9,7,3
52,No,Travel_Rarely,793,Human Resources,2,2,Life Sciences,1,2,2,Male,93,1,3,Human Resources,1,Married,4209,17740,2,Y,No,15,3,1,80,2,25,3,1,38,17,11,2
47,No,Travel_Rarely,1045,Research & Development,19,3,Life Sciences,1,3,4,Female,59,1,2,Research Scientist,1,Single,14060,25516,1,Y,Yes,23,3,3,80,1,13,5,2,5,16,4,16
27,Yes,Travel_Frequently,784,Research & Development,20,2,Marketing,1,4,4,Male,92,2,1,Healthcare Representative,3,Divorced,3863,12739,8,Y,No,18,3,3,80,1,18,3,1,25,11,11,13
55,No,Travel_Rarely,1420,Sales,20,3,Technical Degree,1,5,2,Male,60,3,3,Sales Representative,2,Divorced,11300,16722,7,Y,No,19,3,1,80,0,20,4,2,23,14,12,9
35,No,Travel_Rarely,790,Sales,24,2,Other,1,6,3,Female,69,3,4,Sales Executive,1,Married,10681,26580,2,Y,No,19,3,3,80,1,20,5,2,32,14,7,5
22,No,Non-Travel,497,Sales,14,4,Life Sciences,1,7,4,Female,62,2,4,Sales Representative,4,Single,10196,24503,4,Y,No,11,3,1,80,2,8,3,1,7,12,1,15
46,No,Travel_Frequently,1263,Research & Development,1,4,Human Resources,1,8,1,Female,92,3,1,Manufacturing Director,2,Single,10267,8592,2,Y,Yes,17,3,2,80,1,12,3,2,33,6,2,8
56,Yes,Non-Travel,940,Research & Development,10,3,Other,1,9,4,Female,54,2,3,Research Director,3,Married,3290,24826,5,Y,No,22,3,3,80,2,36,1,3,33,10,7,11
51,No,Travel_Rarely,979,Research & Development,16,3,Human Resources,1,10,4,Female,65,3,1,Manufacturing Director,1,Divorced,8150,15883,4,Y,No,21,3,1,80,1,37,5,3,23,7,8,11
40,No,Travel_Rarely,924,Sales,4,1,Medical,1,11,1,Male,53,1,1,Manager,4,Single,12920,21519,1,Y,No,18,3,1,80,1,23,5,2,1,15,9,13
22,No,Travel_Rarely,1254,Human Resources,27,1,Human Resources,1,12,2,Female,87,2,2,Manager,4,Divorced,18001,14289,7,Y,No,20,3,1,80,0,37,1,3,7,10,7,1
47,No,Travel_Frequently,150,Research & Development,28,4,Life Sciences,1,13,3,Male,68,2,4,Laboratory Technician,3,Single,18856,20816,5,Y,No,13,3,3,80,1,10,4,3,24,4,3,9
23,No,Travel_Rarely,890,Sales,11,4,Marketing,1,14,3,Male,75,1,1,Sales Representative,1,Divorced,17147,18588,2,Y,No,23,4,2,80,1,28,5,3,29,6,12,3
21,No,Travel_Rarely,394,Sales,16,1,Medical,1,15,1,Female,39,2,2,Sales Executive,2,Divorced,19221,23665,0,Y,No,16,4,2,80,2,37,4,3,31,15,5,5
46,No,Travel_Rarely,637,Sales,27,1,Technical Degree,1,16,2,Female,61,1,1,Sales Executive,4,Married,3186,3812,4,Y,Yes,21,3,3,80,2,16,3,1,29,15,10,12
40,No,Travel_Rarely,412,Research & Development,20,3,Other,1,17,4,Male,65,3,1,Healthcare Representative,3,Married,8461,24994,1,Y,No,13,4,1,80,2,25,2,1,6,16,4,13
23,No,Travel_Rarely,638,Research & Development,1,2,Life Sciences,1,18,4,Female,57,1,1,Manager,4,Divorced,19865,2219,1,Y,No,19,4,1,80,1,25,2,1,23,14,11,3
49,No,Travel_Rarely,740,Research & Development,16,3,Medical,1,19,4,Male,45,1,4,Healthcare Representative,4,Married,13464,18140,8,Y,Yes,23,4,1,80,2,11,0,3,8,14,14,9
59,No,Travel_Rarely,335,Sales,19,1,Medical,1,20,4,Female,45,2,3,Sales Executive,1,Married,16052,26931,6,Y,No,13,3,3,80,2,17,2,3,15,14,3,9
35,No,Travel_Rarely,1334,Research & Development,21,4,Life Sciences,1,21,4,Female,47,3,4,Manufacturing Director,1,Married,9332,21412,5,Y,Yes,12,3,3,80,1,8,2,1,1,2,8,4
